district,district_reported,crop,year,season_group,yield_t_ha,yield_original,yield_unit,source_report,source_page,source_period
Bahawalnagar,Bahawalnagar,Cotton,2014-15,Kharif,0.79866,8.08,maund/acre,2014-15(1).pdf,7,current
Bahawalpur,Bahawalpur,Cotton,2014-15,Kharif,0.953845,9.65,maund/acre,2014-15(1).pdf,7,current
Bhakkar,Bhakkar,Cotton,2014-15,Kharif,0.642486,6.5,maund/acre,2014-15(1).pdf,7,current
Chakwal,Chakwal,Cotton,2014-15,Kharif,1.225666,12.4,maund/acre,2014-15(1).pdf,7,current
Faisalabad,Faisalabad,Cotton,2014-15,Kharif,0.617775,6.25,maund/acre,2014-15(1).pdf,7,current
Jhelum,Jhelum,Cotton,2014-15,Kharif,1.270145,12.85,maund/acre,2014-15(1).pdf,7,current
Kasur,Kasur,Cotton,2014-15,Kharif,0.573295,5.8,maund/acre,2014-15(1).pdf,7,current
Khanewal,Khanewal,Cotton,2014-15,Kharif,0.642486,6.5,maund/acre,2014-15(1).pdf,7,current
Khushab,Khushab,Cotton,2014-15,Kharif,0.593064,6.0,maund/acre,2014-15(1).pdf,7,current
Layyah,Layyah,Cotton,2014-15,Kharif,0.790752,8.0,maund/acre,2014-15(1).pdf,7,current
Mandi Bahauddin,M.B.Din,Cotton,2014-15,Kharif,0.790752,8.0,maund/acre,2014-15(1).pdf,7,current
Muzaffargarh,Muzaffargarh,Cotton,2014-15,Kharif,0.835232,8.45,maund/acre,2014-15(1).pdf,7,current
Nankana Sahib,Nankana Sahib,Cotton,2014-15,Kharif,0.395376,4.0,maund/acre,2014-15(1).pdf,7,current
Okara,Okara,Cotton,2014-15,Kharif,0.83029,8.4,maund/acre,2014-15(1).pdf,7,current
Pakpattan,Pakpattan,Cotton,2014-15,Kharif,0.889596,9.0,maund/acre,2014-15(1).pdf,7,current
Rahim Yar Khan,R.Y. Khan,Cotton,2014-15,Kharif,0.794706,8.04,maund/acre,2014-15(1).pdf,7,current
Rajanpur,Rajan Pur,Cotton,2014-15,Kharif,0.939018,9.5,maund/acre,2014-15(1).pdf,7,current
Sahiwal,Sahiwal,Cotton,2014-15,Kharif,0.89948,9.1,maund/acre,2014-15(1).pdf,7,current
Sargodha,Sargodha,Cotton,2014-15,Kharif,0.628648,6.36,maund/acre,2014-15(1).pdf,7,current
Toba Tek Singh,T.T. Singh,Cotton,2014-15,Kharif,0.889596,9.0,maund/acre,2014-15(1).pdf,7,current
Bahawalnagar,Bahawalnagar,Rice,2014-15,Kharif,2.240793,22.67,maund/acre,2014-15(1).pdf,12,current
Bahawalpur,Bahawalpur,Rice,2014-15,Kharif,2.046071,20.7,maund/acre,2014-15(1).pdf,12,current
Bhakkar,Bhakkar,Rice,2014-15,Kharif,1.747562,17.68,maund/acre,2014-15(1).pdf,12,current
Chiniot,Chiniot,Rice,2014-15,Kharif,1.829602,18.51,maund/acre,2014-15(1).pdf,12,current
Dera Ghazi Khan,D.G. Khan,Rice,2014-15,Kharif,2.329753,23.57,maund/acre,2014-15(1).pdf,12,current
Faisalabad,Faisalabad,Rice,2014-15,Kharif,1.933389,19.56,maund/acre,2014-15(1).pdf,12,current
Gujranwala,Gujranwala,Rice,2014-15,Kharif,2.124158,21.49,maund/acre,2014-15(1).pdf,12,current
Gujrat,Gujrat,Rice,2014-15,Kharif,1.564701,15.83,maund/acre,2014-15(1).pdf,12,current
Hafizabad,Hafizabad,Rice,2014-15,Kharif,2.060897,20.85,maund/acre,2014-15(1).pdf,12,current
Jhang,Jhang,Rice,2014-15,Kharif,1.904724,19.27,maund/acre,2014-15(1).pdf,12,current
Jhelum,Jehlum,Rice,2014-15,Kharif,1.800938,18.22,maund/acre,2014-15(1).pdf,12,current
Kasur,Kasur,Rice,2014-15,Kharif,2.104389,21.29,maund/acre,2014-15(1).pdf,12,current
Khanewal,Khanewal,Rice,2014-15,Kharif,2.230909,22.57,maund/acre,2014-15(1).pdf,12,current
Khushab,Khushab,Rice,2014-15,Kharif,1.930423,19.53,maund/acre,2014-15(1).pdf,12,current
Lahore,Lahore,Rice,2014-15,Kharif,2.088574,21.13,maund/acre,2014-15(1).pdf,12,current
Layyah,Layyah,Rice,2014-15,Kharif,1.751516,17.72,maund/acre,2014-15(1).pdf,12,current
Lodhran,Lodhran,Rice,2014-15,Kharif,2.044094,20.68,maund/acre,2014-15(1).pdf,12,current
Mandi Bahauddin,M.B.Din,Rice,2014-15,Kharif,1.842452,18.64,maund/acre,2014-15(1).pdf,12,current
Mianwali,Mianwali,Rice,2014-15,Kharif,1.528128,15.46,maund/acre,2014-15(1).pdf,12,current
Multan,Multan,Rice,2014-15,Kharif,2.048048,20.72,maund/acre,2014-15(1).pdf,12,current
Muzaffargarh,Muzzafargargh,Rice,2014-15,Kharif,2.072759,20.97,maund/acre,2014-15(1).pdf,12,current
Narowal,Narowal,Rice,2014-15,Kharif,1.764365,17.85,maund/acre,2014-15(1).pdf,12,current
Okara,Okara,Rice,2014-15,Kharif,2.708326,27.4,maund/acre,2014-15(1).pdf,12,current
Pakpattan,Pakpattan,Rice,2014-15,Kharif,2.538314,25.68,maund/acre,2014-15(1).pdf,12,current
Rahim Yar Khan,R.Y. Khan,Rice,2014-15,Kharif,2.125146,21.5,maund/acre,2014-15(1).pdf,12,current
Rajanpur,Rajan Pur,Rice,2014-15,Kharif,1.840475,18.62,maund/acre,2014-15(1).pdf,12,current
Sahiwal,Sahiwal,Rice,2014-15,Kharif,2.146892,21.72,maund/acre,2014-15(1).pdf,12,current
Sargodha,Sargodha,Rice,2014-15,Kharif,1.930423,19.53,maund/acre,2014-15(1).pdf,12,current
Sheikhupura,Sheikhupura,Rice,2014-15,Kharif,1.907689,19.3,maund/acre,2014-15(1).pdf,12,current
Sialkot,Sialkot,Rice,2014-15,Kharif,1.901759,19.24,maund/acre,2014-15(1).pdf,12,current
Toba Tek Singh,T.T. Singh,Rice,2014-15,Kharif,2.217071,22.43,maund/acre,2014-15(1).pdf,12,current
Vehari,Vehari,Rice,2014-15,Kharif,2.20521,22.31,maund/acre,2014-15(1).pdf,12,current
Bahawalnagar,Bahawalnagar,Sugarcane,2014-15,Kharif,61.382124,621.0,maund/acre,2014-15(1).pdf,19,current
Bahawalpur,Bahawalpur,Sugarcane,2014-15,Kharif,66.22548,670.0,maund/acre,2014-15(1).pdf,19,current
Bhakkar,Bhakkar,Sugarcane,2014-15,Kharif,55.84686,565.0,maund/acre,2014-15(1).pdf,19,current
Chiniot,Chiniot,Sugarcane,2014-15,Kharif,57.32952,580.0,maund/acre,2014-15(1).pdf,19,current
Dera Ghazi Khan,D.G.Khan,Sugarcane,2014-15,Kharif,60.591372,613.0,maund/acre,2014-15(1).pdf,19,current
Faisalabad,Faisalabad,Sugarcane,2014-15,Kharif,57.922584,586.0,maund/acre,2014-15(1).pdf,19,current
Gujranwala,Gujranwala,Sugarcane,2014-15,Kharif,41.811012,423.0,maund/acre,2014-15(1).pdf,19,current
Gujrat,Gujrat,Sugarcane,2014-15,Kharif,46.852056,474.0,maund/acre,2014-15(1).pdf,19,current
Hafizabad,Hafizabad,Sugarcane,2014-15,Kharif,49.323156,499.0,maund/acre,2014-15(1).pdf,19,current
Jhang,Jhang,Sugarcane,2014-15,Kharif,60.097152,608.0,maund/acre,2014-15(1).pdf,19,current
Jhelum,Jhelum,Sugarcane,2014-15,Kharif,40.328352,408.0,maund/acre,2014-15(1).pdf,19,current
Kasur,Kasur,Sugarcane,2014-15,Kharif,54.265356,549.0,maund/acre,2014-15(1).pdf,19,current
Khanewal,Khanewal,Sugarcane,2014-15,Kharif,65.73126,665.0,maund/acre,2014-15(1).pdf,19,current
Khushab,Khushab,Sugarcane,2014-15,Kharif,52.980384,536.0,maund/acre,2014-15(1).pdf,19,current
Lahore,Lahore,Sugarcane,2014-15,Kharif,53.771136,544.0,maund/acre,2014-15(1).pdf,19,current
Layyah,Layyah,Sugarcane,2014-15,Kharif,57.82374,585.0,maund/acre,2014-15(1).pdf,19,current
Lodhran,Lodhran,Sugarcane,2014-15,Kharif,60.986748,617.0,maund/acre,2014-15(1).pdf,19,current
Mandi Bahauddin,M.B.Din,Sugarcane,2014-15,Kharif,49.718532,503.0,maund/acre,2014-15(1).pdf,19,current
Mianwali,Mianwali,Sugarcane,2014-15,Kharif,49.619688,502.0,maund/acre,2014-15(1).pdf,19,current
Multan,Multan,Sugarcane,2014-15,Kharif,52.585008,532.0,maund/acre,2014-15(1).pdf,19,current
Muzaffargarh,Muzaffargarh,Sugarcane,2014-15,Kharif,62.27172,630.0,maund/acre,2014-15(1).pdf,19,current
Nankana Sahib,Nankana sahib,Sugarcane,2014-15,Kharif,54.85842,555.0,maund/acre,2014-15(1).pdf,19,current
Narowal,Narowal,Sugarcane,2014-15,Kharif,36.07806,365.0,maund/acre,2014-15(1).pdf,19,current
Okara,Okara,Sugarcane,2014-15,Kharif,50.90466,515.0,maund/acre,2014-15(1).pdf,19,current
Pakpattan,Pakpattan,Sugarcane,2014-15,Kharif,53.672292,543.0,maund/acre,2014-15(1).pdf,19,current
Rajanpur,Rajanpur,Sugarcane,2014-15,Kharif,72.65034,735.0,maund/acre,2014-15(1).pdf,19,current
Sahiwal,Sahiwal,Sugarcane,2014-15,Kharif,51.695412,523.0,maund/acre,2014-15(1).pdf,19,current
Sargodha,Sargodha,Sugarcane,2014-15,Kharif,52.88154,535.0,maund/acre,2014-15(1).pdf,19,current
Sheikhupura,Sheikhupura,Sugarcane,2014-15,Kharif,50.41044,510.0,maund/acre,2014-15(1).pdf,19,current
Sialkot,Sialkot,Sugarcane,2014-15,Kharif,34.5954,350.0,maund/acre,2014-15(1).pdf,19,current
Toba Tek Singh,T.T.Singh,Sugarcane,2014-15,Kharif,61.7775,625.0,maund/acre,2014-15(1).pdf,19,current
Vehari,Vehari,Sugarcane,2014-15,Kharif,62.76594,635.0,maund/acre,2014-15(1).pdf,19,current
Attock,Attock,Wheat,2014-15,Rabi,1.733,1733.0,kg/ha,2014-15(1).pdf,112,current
Bahawalnagar,Bahawalnagar,Wheat,2014-15,Rabi,3.146,3146.0,kg/ha,2014-15(1).pdf,112,current
Bahawalpur,Bahawalpur,Wheat,2014-15,Rabi,3.047,3047.0,kg/ha,2014-15(1).pdf,112,current
Bhakkar,Bhakkar,Wheat,2014-15,Rabi,2.226,2226.0,kg/ha,2014-15(1).pdf,112,current
Chakwal,Chakwal,Wheat,2014-15,Rabi,1.656,1656.0,kg/ha,2014-15(1).pdf,112,current
Chiniot,Chiniot,Wheat,2014-15,Rabi,2.904,2904.0,kg/ha,2014-15(1).pdf,112,current
Dera Ghazi Khan,D.G. Khan,Wheat,2014-15,Rabi,2.985,2985.0,kg/ha,2014-15(1).pdf,112,current
Faisalabad,Faisalabad,Wheat,2014-15,Rabi,3.2,3200.0,kg/ha,2014-15(1).pdf,112,current
Gujranwala,Gujranwala,Wheat,2014-15,Rabi,2.717,2717.0,kg/ha,2014-15(1).pdf,112,current
Gujrat,Gujrat,Wheat,2014-15,Rabi,1.537,1537.0,kg/ha,2014-15(1).pdf,112,current
Hafizabad,Hafizabad,Wheat,2014-15,Rabi,3.059,3059.0,kg/ha,2014-15(1).pdf,112,current
Islamabad,Islamabad,Wheat,2014-15,Rabi,1.647,1647.0,kg/ha,2014-15(1).pdf,112,current
Jhang,Jhang,Wheat,2014-15,Rabi,3.073,3073.0,kg/ha,2014-15(1).pdf,112,current
Jhelum,Jhelum,Wheat,2014-15,Rabi,1.985,1985.0,kg/ha,2014-15(1).pdf,112,current
Kasur,Kasur,Wheat,2014-15,Rabi,3.069,3069.0,kg/ha,2014-15(1).pdf,112,current
Khanewal,Khanewal,Wheat,2014-15,Rabi,3.153,3153.0,kg/ha,2014-15(1).pdf,112,current
Khushab,Khushab,Wheat,2014-15,Rabi,1.85,1850.0,kg/ha,2014-15(1).pdf,112,current
Lahore,Lahore,Wheat,2014-15,Rabi,2.739,2739.0,kg/ha,2014-15(1).pdf,112,current
Layyah,Layyah,Wheat,2014-15,Rabi,2.542,2542.0,kg/ha,2014-15(1).pdf,112,current
Lodhran,Lodhran,Wheat,2014-15,Rabi,3.122,3122.0,kg/ha,2014-15(1).pdf,112,current
Mandi Bahauddin,M.B. Din,Wheat,2014-15,Rabi,2.44,2440.0,kg/ha,2014-15(1).pdf,112,current
Mianwali,Mianwali,Wheat,2014-15,Rabi,1.776,1776.0,kg/ha,2014-15(1).pdf,112,current
Multan,Multan,Wheat,2014-15,Rabi,3.022,3022.0,kg/ha,2014-15(1).pdf,112,current
Muzaffargarh,Muzaffargarh,Wheat,2014-15,Rabi,2.793,2793.0,kg/ha,2014-15(1).pdf,112,current
Nankana Sahib,Nankana Sahib,Wheat,2014-15,Rabi,3.329,3329.0,kg/ha,2014-15(1).pdf,112,current
Narowal,Narowal,Wheat,2014-15,Rabi,1.761,1761.0,kg/ha,2014-15(1).pdf,112,current
Okara,Okara,Wheat,2014-15,Rabi,3.467,3467.0,kg/ha,2014-15(1).pdf,112,current
Pakpattan,Pakpattan,Wheat,2014-15,Rabi,3.365,3365.0,kg/ha,2014-15(1).pdf,112,current
Rahim Yar Khan,Rahim Yar Khan,Wheat,2014-15,Rabi,3.156,3156.0,kg/ha,2014-15(1).pdf,112,current
Rajanpur,Rajan Pur,Wheat,2014-15,Rabi,2.825,2825.0,kg/ha,2014-15(1).pdf,112,current
Rawalpindi,Rawalpindi,Wheat,2014-15,Rabi,1.614,1614.0,kg/ha,2014-15(1).pdf,112,current
Sahiwal,Sahiwal,Wheat,2014-15,Rabi,3.046,3046.0,kg/ha,2014-15(1).pdf,112,current
Sargodha,Sargodha,Wheat,2014-15,Rabi,2.308,2308.0,kg/ha,2014-15(1).pdf,112,current
Sheikhupura,Sheikhupura,Wheat,2014-15,Rabi,3.212,3212.0,kg/ha,2014-15(1).pdf,112,current
Sialkot,Sialkot,Wheat,2014-15,Rabi,1.712,1712.0,kg/ha,2014-15(1).pdf,112,current
Toba Tek Singh,T.T. Singh,Wheat,2014-15,Rabi,3.305,3305.0,kg/ha,2014-15(1).pdf,112,current
Vehari,Vehari,Wheat,2014-15,Rabi,3.29,3290.0,kg/ha,2014-15(1).pdf,112,current
Bahawalnagar,Bahawalnagar,Cotton,2015-16,Kharif,0.736388,7.45,maund/acre,2015-16(1).pdf,7,current
Bahawalpur,Bahawalpur,Cotton,2015-16,Kharif,0.8807,8.91,maund/acre,2015-16(1).pdf,7,current
Bhakkar,Bhakkar,Cotton,2015-16,Kharif,0.536723,5.43,maund/acre,2015-16(1).pdf,7,current
Chiniot,Chiniot,Cotton,2015-16,Kharif,0.889596,9.0,maund/acre,2015-16(1).pdf,7,current
Dera Ghazi Khan,D.G. Khan,Cotton,2015-16,Kharif,1.329452,13.45,maund/acre,2015-16(1).pdf,7,current
Faisalabad,Faisalabad,Cotton,2015-16,Kharif,0.49422,5.0,maund/acre,2015-16(1).pdf,7,current
Jhang,Jhang,Cotton,2015-16,Kharif,1.071469,10.84,maund/acre,2015-16(1).pdf,7,current
Jhelum,Jhelum,Cotton,2015-16,Kharif,0.49422,5.0,maund/acre,2015-16(1).pdf,7,current
Kasur,Kasur,Cotton,2015-16,Kharif,0.543642,5.5,maund/acre,2015-16(1).pdf,7,current
Khanewal,Khanewal,Cotton,2015-16,Kharif,0.593064,6.0,maund/acre,2015-16(1).pdf,7,current
Khushab,Khushab,Cotton,2015-16,Kharif,0.49422,5.0,maund/acre,2015-16(1).pdf,7,current
Layyah,Layyah,Cotton,2015-16,Kharif,0.691908,7.0,maund/acre,2015-16(1).pdf,7,current
Lodhran,Lodhran,Cotton,2015-16,Kharif,1.23555,12.5,maund/acre,2015-16(1).pdf,7,current
Mandi Bahauddin,M.B.Din,Cotton,2015-16,Kharif,0.593064,6.0,maund/acre,2015-16(1).pdf,7,current
Mianwali,Mianwali,Cotton,2015-16,Kharif,1.207874,12.22,maund/acre,2015-16(1).pdf,7,current
Multan,Multan,Cotton,2015-16,Kharif,1.111995,11.25,maund/acre,2015-16(1).pdf,7,current
Muzaffargarh,Muzaffargarh,Cotton,2015-16,Kharif,0.790752,8.0,maund/acre,2015-16(1).pdf,7,current
Okara,Okara,Cotton,2015-16,Kharif,0.711677,7.2,maund/acre,2015-16(1).pdf,7,current
Pakpattan,Pakpattan,Cotton,2015-16,Kharif,0.790752,8.0,maund/acre,2015-16(1).pdf,7,current
Rahim Yar Khan,R.Y. Khan,Cotton,2015-16,Kharif,0.635567,6.43,maund/acre,2015-16(1).pdf,7,current
Rajanpur,Rajan Pur,Cotton,2015-16,Kharif,0.790752,8.0,maund/acre,2015-16(1).pdf,7,current
Sahiwal,Sahiwal,Cotton,2015-16,Kharif,0.790752,8.0,maund/acre,2015-16(1).pdf,7,current
Sargodha,Sargodha,Cotton,2015-16,Kharif,0.518931,5.25,maund/acre,2015-16(1).pdf,7,current
Toba Tek Singh,T.T. Singh,Cotton,2015-16,Kharif,0.395376,4.0,maund/acre,2015-16(1).pdf,7,current
Vehari,Vehari,Cotton,2015-16,Kharif,1.210839,12.25,maund/acre,2015-16(1).pdf,7,current
Bahawalnagar,Bahawalnagar,Rice,2015-16,Kharif,2.113285,21.38,maund/acre,2015-16(1).pdf,12,current
Bahawalpur,Bahawalpur,Rice,2015-16,Kharif,2.172591,21.98,maund/acre,2015-16(1).pdf,12,current
Bhakkar,Bhakkar,Rice,2015-16,Kharif,1.853325,18.75,maund/acre,2015-16(1).pdf,12,current
Chiniot,Chiniot,Rice,2015-16,Kharif,1.966007,19.89,maund/acre,2015-16(1).pdf,12,current
Dera Ghazi Khan,D.G. Khan,Rice,2015-16,Kharif,2.356441,23.84,maund/acre,2015-16(1).pdf,12,current
Faisalabad,Faisalabad,Rice,2015-16,Kharif,1.918562,19.41,maund/acre,2015-16(1).pdf,12,current
Gujranwala,Gujranwala,Rice,2015-16,Kharif,2.285273,23.12,maund/acre,2015-16(1).pdf,12,current
Gujrat,Gujrat,Rice,2015-16,Kharif,1.561735,15.8,maund/acre,2015-16(1).pdf,12,current
Hafizabad,Hafizabad,Rice,2015-16,Kharif,2.241782,22.68,maund/acre,2015-16(1).pdf,12,current
Jhang,Jhang,Rice,2015-16,Kharif,1.888909,19.11,maund/acre,2015-16(1).pdf,12,current
Jhelum,Jehlum,Rice,2015-16,Kharif,1.836522,18.58,maund/acre,2015-16(1).pdf,12,current
Kasur,Kasur,Rice,2015-16,Kharif,2.161718,21.87,maund/acre,2015-16(1).pdf,12,current
Khanewal,Khanewal,Rice,2015-16,Kharif,1.937342,19.6,maund/acre,2015-16(1).pdf,12,current
Khushab,Khushab,Rice,2015-16,Kharif,1.881001,19.03,maund/acre,2015-16(1).pdf,12,current
Lahore,Lahore,Rice,2015-16,Kharif,2.020371,20.44,maund/acre,2015-16(1).pdf,12,current
Layyah,Layyah,Rice,2015-16,Kharif,1.920539,19.43,maund/acre,2015-16(1).pdf,12,current
Lodhran,Lodhran,Rice,2015-16,Kharif,2.286262,23.13,maund/acre,2015-16(1).pdf,12,current
Mandi Bahauddin,M.B.Din,Rice,2015-16,Kharif,1.890886,19.13,maund/acre,2015-16(1).pdf,12,current
Mianwali,Mianwali,Rice,2015-16,Kharif,1.529117,15.47,maund/acre,2015-16(1).pdf,12,current
Multan,Multan,Rice,2015-16,Kharif,2.153811,21.79,maund/acre,2015-16(1).pdf,12,current
Muzaffargarh,Muzzafargargh,Rice,2015-16,Kharif,1.988741,20.12,maund/acre,2015-16(1).pdf,12,current
Narowal,Narowal,Rice,2015-16,Kharif,1.857279,18.79,maund/acre,2015-16(1).pdf,12,current
Okara,Okara,Rice,2015-16,Kharif,2.518545,25.48,maund/acre,2015-16(1).pdf,12,current
Pakpattan,Pakpattan,Rice,2015-16,Kharif,2.394002,24.22,maund/acre,2015-16(1).pdf,12,current
Rahim Yar Khan,R.Y. Khan,Rice,2015-16,Kharif,1.978857,20.02,maund/acre,2015-16(1).pdf,12,current
Rajanpur,Rajan Pur,Rice,2015-16,Kharif,1.72977,17.5,maund/acre,2015-16(1).pdf,12,current
Sahiwal,Sahiwal,Rice,2015-16,Kharif,1.94525,19.68,maund/acre,2015-16(1).pdf,12,current
Sargodha,Sargodha,Rice,2015-16,Kharif,1.702094,17.22,maund/acre,2015-16(1).pdf,12,current
Sheikhupura,Sheikhupura,Rice,2015-16,Kharif,2.066828,20.91,maund/acre,2015-16(1).pdf,12,current
Sialkot,Sialkot,Rice,2015-16,Kharif,1.943273,19.66,maund/acre,2015-16(1).pdf,12,current
Toba Tek Singh,T.T. Singh,Rice,2015-16,Kharif,2.223002,22.49,maund/acre,2015-16(1).pdf,12,current
Vehari,Vehari,Rice,2015-16,Kharif,2.001591,20.25,maund/acre,2015-16(1).pdf,12,current
Bahawalnagar,Bahawalnagar,Sugarcane,2015-16,Kharif,61.678656,624.0,maund/acre,2015-16(1).pdf,18,current
Bahawalpur,Bahawalpur,Sugarcane,2015-16,Kharif,70.67346,715.0,maund/acre,2015-16(1).pdf,18,current
Bhakkar,Bhakkar,Sugarcane,2015-16,Kharif,58.515648,592.0,maund/acre,2015-16(1).pdf,18,current
Chiniot,Chiniot,Sugarcane,2015-16,Kharif,57.82374,585.0,maund/acre,2015-16(1).pdf,18,current
Dera Ghazi Khan,D.G.Khan,Sugarcane,2015-16,Kharif,65.73126,665.0,maund/acre,2015-16(1).pdf,18,current
Faisalabad,Faisalabad,Sugarcane,2015-16,Kharif,58.81218,595.0,maund/acre,2015-16(1).pdf,18,current
Gujranwala,Gujranwala,Sugarcane,2015-16,Kharif,39.834132,403.0,maund/acre,2015-16(1).pdf,18,current
Gujrat,Gujrat,Sugarcane,2015-16,Kharif,43.49136,440.0,maund/acre,2015-16(1).pdf,18,current
Hafizabad,Hafizabad,Sugarcane,2015-16,Kharif,46.45668,470.0,maund/acre,2015-16(1).pdf,18,current
Jhang,Jhang,Sugarcane,2015-16,Kharif,58.31796,590.0,maund/acre,2015-16(1).pdf,18,current
Jhelum,Jhelum,Sugarcane,2015-16,Kharif,39.339912,398.0,maund/acre,2015-16(1).pdf,18,current
Kasur,Kasur,Sugarcane,2015-16,Kharif,54.561888,552.0,maund/acre,2015-16(1).pdf,18,current
Khanewal,Khanewal,Sugarcane,2015-16,Kharif,66.818544,676.0,maund/acre,2015-16(1).pdf,18,current
Khushab,Khushab,Sugarcane,2015-16,Kharif,50.41044,510.0,maund/acre,2015-16(1).pdf,18,current
Lahore,Lahore,Sugarcane,2015-16,Kharif,52.38732,530.0,maund/acre,2015-16(1).pdf,18,current
Layyah,Layyah,Sugarcane,2015-16,Kharif,57.527208,582.0,maund/acre,2015-16(1).pdf,18,current
Lodhran,Lodhran,Sugarcane,2015-16,Kharif,68.20236,690.0,maund/acre,2015-16(1).pdf,18,current
Mandi Bahauddin,M.B.Din,Sugarcane,2015-16,Kharif,50.41044,510.0,maund/acre,2015-16(1).pdf,18,current
Mianwali,Mianwali,Sugarcane,2015-16,Kharif,53.86998,545.0,maund/acre,2015-16(1).pdf,18,current
Multan,Multan,Sugarcane,2015-16,Kharif,54.3642,550.0,maund/acre,2015-16(1).pdf,18,current
Muzaffargarh,Muzaffargarh,Sugarcane,2015-16,Kharif,67.21392,680.0,maund/acre,2015-16(1).pdf,18,current
Nankana Sahib,Nankana sahib,Sugarcane,2015-16,Kharif,55.35264,560.0,maund/acre,2015-16(1).pdf,18,current
Narowal,Narowal,Sugarcane,2015-16,Kharif,33.60696,340.0,maund/acre,2015-16(1).pdf,18,current
Okara,Okara,Sugarcane,2015-16,Kharif,50.41044,510.0,maund/acre,2015-16(1).pdf,18,current
Pakpattan,Pakpattan,Sugarcane,2015-16,Kharif,53.86998,545.0,maund/acre,2015-16(1).pdf,18,current
Rajanpur,Rajanpur,Sugarcane,2015-16,Kharif,80.06364,810.0,maund/acre,2015-16(1).pdf,18,current
Sahiwal,Sahiwal,Sugarcane,2015-16,Kharif,52.88154,535.0,maund/acre,2015-16(1).pdf,18,current
Sargodha,Sargodha,Sugarcane,2015-16,Kharif,53.178072,538.0,maund/acre,2015-16(1).pdf,18,current
Sheikhupura,Sheikhupura,Sugarcane,2015-16,Kharif,56.439924,571.0,maund/acre,2015-16(1).pdf,18,current
Sialkot,Sialkot,Sugarcane,2015-16,Kharif,32.61852,330.0,maund/acre,2015-16(1).pdf,18,current
Toba Tek Singh,T.T.Singh,Sugarcane,2015-16,Kharif,60.29484,610.0,maund/acre,2015-16(1).pdf,18,current
Vehari,Vehari,Sugarcane,2015-16,Kharif,63.26016,640.0,maund/acre,2015-16(1).pdf,18,current
Attock,Attock,Wheat,2015-16,Rabi,1.802,1802.0,kg/ha,2015-16(1).pdf,112,current
Bahawalnagar,Bahawalnagar,Wheat,2015-16,Rabi,3.058,3058.0,kg/ha,2015-16(1).pdf,112,current
Bahawalpur,Bahawalpur,Wheat,2015-16,Rabi,3.239,3239.0,kg/ha,2015-16(1).pdf,112,current
Bhakkar,Bhakkar,Wheat,2015-16,Rabi,2.225,2225.0,kg/ha,2015-16(1).pdf,112,current
Chakwal,Chakwal,Wheat,2015-16,Rabi,1.845,1845.0,kg/ha,2015-16(1).pdf,112,current
Chiniot,Chiniot,Wheat,2015-16,Rabi,2.93,2930.0,kg/ha,2015-16(1).pdf,112,current
Dera Ghazi Khan,D.G. Khan,Wheat,2015-16,Rabi,2.784,2784.0,kg/ha,2015-16(1).pdf,112,current
Faisalabad,Faisalabad,Wheat,2015-16,Rabi,3.142,3142.0,kg/ha,2015-16(1).pdf,112,current
Gujranwala,Gujranwala,Wheat,2015-16,Rabi,2.96,2960.0,kg/ha,2015-16(1).pdf,112,current
Gujrat,Gujrat,Wheat,2015-16,Rabi,1.7,1700.0,kg/ha,2015-16(1).pdf,112,current
Hafizabad,Hafizabad,Wheat,2015-16,Rabi,3.069,3069.0,kg/ha,2015-16(1).pdf,112,current
Islamabad,Islamabad,Wheat,2015-16,Rabi,1.651,1651.0,kg/ha,2015-16(1).pdf,112,current
Jhang,Jhang,Wheat,2015-16,Rabi,2.895,2895.0,kg/ha,2015-16(1).pdf,112,current
Jhelum,Jhelum,Wheat,2015-16,Rabi,2.222,2222.0,kg/ha,2015-16(1).pdf,112,current
Kasur,Kasur,Wheat,2015-16,Rabi,2.901,2901.0,kg/ha,2015-16(1).pdf,112,current
Khanewal,Khanewal,Wheat,2015-16,Rabi,3.201,3201.0,kg/ha,2015-16(1).pdf,112,current
Khushab,Khushab,Wheat,2015-16,Rabi,1.999,1999.0,kg/ha,2015-16(1).pdf,112,current
Lahore,Lahore,Wheat,2015-16,Rabi,2.982,2982.0,kg/ha,2015-16(1).pdf,112,current
Layyah,Layyah,Wheat,2015-16,Rabi,2.528,2528.0,kg/ha,2015-16(1).pdf,112,current
Lodhran,Lodhran,Wheat,2015-16,Rabi,3.387,3387.0,kg/ha,2015-16(1).pdf,112,current
Mandi Bahauddin,M.B. Din,Wheat,2015-16,Rabi,2.573,2573.0,kg/ha,2015-16(1).pdf,112,current
Mianwali,Mianwali,Wheat,2015-16,Rabi,1.997,1997.0,kg/ha,2015-16(1).pdf,112,current
Multan,Multan,Wheat,2015-16,Rabi,3.032,3032.0,kg/ha,2015-16(1).pdf,112,current
Muzaffargarh,Muzaffargarh,Wheat,2015-16,Rabi,2.909,2909.0,kg/ha,2015-16(1).pdf,112,current
Nankana Sahib,Nankana Sahib,Wheat,2015-16,Rabi,3.227,3227.0,kg/ha,2015-16(1).pdf,112,current
Narowal,Narowal,Wheat,2015-16,Rabi,2.066,2066.0,kg/ha,2015-16(1).pdf,112,current
Okara,Okara,Wheat,2015-16,Rabi,3.179,3179.0,kg/ha,2015-16(1).pdf,112,current
Pakpattan,Pakpattan,Wheat,2015-16,Rabi,3.421,3421.0,kg/ha,2015-16(1).pdf,112,current
